
================================================================================
🔍 各フォント内部 CMap 汚染明細（逆引き検証）
================================================================================
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
🚨 汚染検出 フォント [ID: 4] (名前: AAAAAA+Meiryo) [ToUnicode ID: 272]
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  [▼ 🔴 康煕部首へのマッピング (U+2F00～)]
     CID: <3B61> -> Uni: <2E83> (⺃) 💡 (相当する統合漢字: 乚 <4E5A>)
     CID: <3B94> -> Uni: <2E89> (⺉) 💡 (相当する統合漢字: 刂 <5202>)
     CID: <3C0C> -> Uni: <2E8F> (⺏) 💡 (相当する統合漢字: 尣 <5C23>)
     CID: <3C42> -> Uni: <2E96> (⺖) 💡 (相当する統合漢字: 忄 <5FC4>)
     CID: <3C61> -> Uni: <2E98> (⺘) 💡 (相当する統合漢字: 扌 <624C>)
     CID: <3D1D> -> Uni: <2EA3> (⺣) 💡 (相当する統合漢字: 灬 <706C>)
     CID: <3D3C> -> Uni: <2EA8> (⺨) 💡 (相当する統合漢字: 犭 <72AD>)
     CID: <3DB9> -> Uni: <2EAD> (⺭) 💡 (相当する統合漢字: 礻 <793B>)
     CID: <3E17> -> Uni: <2EAB> (⺫) 💡 (相当する統合漢字: 目 <76EE>)
     CID: <3E8A> -> Uni: <2EC2> (⻂) 💡 (相当する統合漢字: 衤 <8864>)
     CID: <3ED0> -> Uni: <2ECD> (⻍)
     CID: <3F17> -> Uni: <2ED2> (⻒) 💡 (相当する統合漢字: 镸 <9578>)
     CID: <3F1E> -> Uni: <2ECF> (⻏) 💡 (相当する統合漢字: 邑 <9091>)
     CID: <3FA6> -> Uni: <2EA4> (⺤)
     CID: <3FAB> -> Uni: <2ECC> (⻌)
     CID: <4751> -> Uni: <2E9E> (⺞) 💡 (相当する統合漢字: 歺 <6B7A>)
