
================================================================================
🔍 各フォント内部 CMap 汚染明細（逆引き検証）
================================================================================
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
🚨 汚染検出 フォント [ID: 4] (名前: AAAAAA+IPAexGothic) [ToUnicode ID: 266]
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  [▼ 🔴 康煕部首へのマッピング (U+2F00～)]
     CID: <1753> -> Uni: <2F7E> (⽾) 💡 (相当する統合漢字: 耒 <8012>)
     CID: <1769> -> Uni: <2F80> (⾀) 💡 (相当する統合漢字: 聿 <807F>)
     CID: <17C8> -> Uni: <2F8B> (⾋) 💡 (相当する統合漢字: 艸 <8278>)
     CID: <1865> -> Uni: <2F8C> (⾌) 💡 (相当する統合漢字: 虍 <864D>)
     CID: <1901> -> Uni: <2F91> (⾑) 💡 (相当する統合漢字: 襾 <897E>)
     CID: <196C> -> Uni: <2F97> (⾗) 💡 (相当する統合漢字: 豕 <8C55>)
     CID: <196F> -> Uni: <2F98> (⾘) 💡 (相当する統合漢字: 豸 <8C78>)
     CID: <1ADF> -> Uni: <2FAA> (⾪) 💡 (相当する統合漢字: 隶 <96B6>)
     CID: <1AE1> -> Uni: <2FAB> (⾫) 💡 (相当する統合漢字: 隹 <96B9>)
     CID: <1B19> -> Uni: <2FB1> (⾱) 💡 (相当する統合漢字: 韋 <97CB>)
     CID: <1B1B> -> Uni: <2FB2> (⾲) 💡 (相当する統合漢字: 韭 <97ED>)
     CID: <1B82> -> Uni: <2FBD> (⾽) 💡 (相当する統合漢字: 髟 <9ADF>)
     CID: <1B93> -> Uni: <2FBE> (⾾) 💡 (相当する統合漢字: 鬥 <9B25>)
     CID: <1C0C> -> Uni: <2FC4> (⿄) 💡 (相当する統合漢字: 鹵 <9E75>)
     CID: <1C17> -> Uni: <2FC6> (⿆) 💡 (相当する統合漢字: 麥 <9EA5>)
     CID: <1C2C> -> Uni: <2FCB> (⿋) 💡 (相当する統合漢字: 黹 <9EF9>)
     CID: <1C2F> -> Uni: <2FCC> (⿌) 💡 (相当する統合漢字: 黽 <9EFD>)
     CID: <1D78> -> Uni: <2F5B> (⽛) 💡 (相当する統合漢字: 牙 <7259>)
     CID: <1E45> -> Uni: <2F01> (⼁) 💡 (相当する統合漢字: 丨 <4E28>)
     CID: <20F4> -> Uni: <2FC8> (⿈) 💡 (相当する統合漢字: 黃 <9EC3>)
     CID: <2333> -> Uni: <2F67> (⽧) 💡 (相当する統合漢字: 疒 <7592>)
     CID: <2366> -> Uni: <2F71> (⽱) 💡 (相当する統合漢字: 禸 <79B8>)
     CID: <2446> -> Uni: <2FA1> (⾡) 💡 (相当する統合漢字: 辵 <8FB5>)
     CID: <2F02> -> Uni: <2F03> (⼃) 💡 (相当する統合漢字: 丿 <4E3F>)
     CID: <2F04> -> Uni: <2F05> (⼅) 💡 (相当する統合漢字: 亅 <4E85>)
     CID: <2F16> -> Uni: <2F18> (⼘) 💡 (相当する統合漢字: 卜 <535C>)
     CID: <2F22> -> Uni: <2F23> (⼣) 💡 (相当する統合漢字: 夕 <5915>)
     CID: <2F2A> -> Uni: <2F2C> (⼬) 💡 (相当する統合漢字: 屮 <5C6E>)
     CID: <2F2D> -> Uni: <2F2E> (⼮) 💡 (相当する統合漢字: 巛 <5DDB>)
     CID: <2F37> -> Uni: <2F38> (⼸) 💡 (相当する統合漢字: 弓 <5F13>)
     CID: <2F44> -> Uni: <2F45> (⽅) 💡 (相当する統合漢字: 方 <65B9>)
     CID: <2FB6> -> Uni: <2FB7> (⾷) 💡 (相当する統合漢字: 食 <98DF>)
  [▼ 🟡 CJK部首補助へのマッピング (U+2E80～)]
     CID: <0441> -> Uni: <2EE9> (⻩) 💡 (相当する統合漢字: 黄 <9EC4>)
     CID: <0564> -> Uni: <2EE4> (⻤) 💡 (相当する統合漢字: 鬼 <9B3C>)
     CID: <0565> -> Uni: <2EF2> (⻲) 💡 (相当する統合漢字: 亀 <4E80>)
     CID: <06A1> -> Uni: <2EC1> (⻁) 💡 (相当する統合漢字: 虎 <864E>)
     CID: <07D9> -> Uni: <2EED> (⻭) 💡 (相当する統合漢字: 歯 <6B6F>)
     CID: <0978> -> Uni: <2EC4> (⻄) 💡 (相当する統合漢字: 西 <897F>)
     CID: <097E> -> Uni: <2ED8> (⻘) 💡 (相当する統合漢字: 青 <9752>)
     CID: <0980> -> Uni: <2EEB> (⻫) 💡 (相当する統合漢字: 斉 <6589>)
     CID: <0AEB> -> Uni: <2ED1> (⻑) 💡 (相当する統合漢字: 長 <9577>)
     CID: <0C4A> -> Uni: <2EE8> (⻨) 💡 (相当する統合漢字: 麦 <9EA6>)
     CID: <0D52> -> Uni: <2E9F> (⺟) 💡 (相当する統合漢字: 母 <6BCD>)
     CID: <0DC8> -> Uni: <2E92> (⺒) 💡 (相当する統合漢字: 巳 <5DF3>)
     CID: <0DD3> -> Uni: <2EA0> (⺠) 💡 (相当する統合漢字: 民 <6C11>)
     CID: <0E93> -> Uni: <2EEF> (⻯) 💡 (相当する統合漢字: 竜 <7ADC>)
     CID: <0F87> -> Uni: <2E8E> (⺎) 💡 (相当する統合漢字: 兀 <5140>)
     CID: <113C> -> Uni: <2E90> (⺐) 💡 (相当する統合漢字: 尢 <5C22>)
     CID: <1199> -> Uni: <2E93> (⺓) 💡 (相当する統合漢字: 幺 <5E7A>)
     CID: <11C1> -> Uni: <2E94> (⺔) 💡 (相当する統合漢字: 彑 <5F51>)
     CID: <12D9> -> Uni: <2E99> (⺙) 💡 (相当する統合漢字: 攵 <6535>)
     CID: <12F7> -> Uni: <2E9B> (⺛) 💡 (相当する統合漢字: 旡 <65E1>)
     CID: <2142> -> Uni: <2EBD> (⺽) 💡 (相当する統合漢字: 𦥑 <26951>)
     CID: <214A> -> Uni: <2EDF> (⻟) 💡 (相当する統合漢字: 飠 <98E0>)
     CID: <214B> -> Uni: <2EDE> (⻞) 💡 (相当する統合漢字: 𩙿 <2967F>)
     CID: <214D> -> Uni: <2E97> (⺗) 💡 (相当する統合漢字: 心 <5FC3>)
     CID: <214E> -> Uni: <2E85> (⺅) 💡 (相当する統合漢字: 亻 <4EBB>)
     CID: <2152> -> Uni: <2EC3> (⻃) 💡 (相当する統合漢字: 覀 <8980>)
     CID: <2156> -> Uni: <2ECA> (⻊) 💡 (相当する統合漢字: 𧾷 <27FB7>)
     CID: <215E> -> Uni: <2EAA> (⺪) 💡 (相当する統合漢字: 𤴔 <24D14>)
     CID: <2165> -> Uni: <2EB9> (⺹) 💡 (相当する統合漢字: 耂 <8002>)
     CID: <2167> -> Uni: <2E87> (⺇) 💡 (相当する統合漢字: 𠘨 <20628>)
     CID: <2171> -> Uni: <2EA6> (⺦) 💡 (相当する統合漢字: 丬 <4E2C>)
     CID: <2185> -> Uni: <2E83> (⺃) 💡 (相当する統合漢字: 乚 <4E5A>)
     CID: <21AB> -> Uni: <2E89> (⺉) 💡 (相当する統合漢字: 刂 <5202>)
     CID: <2208> -> Uni: <2E8F> (⺏) 💡 (相当する統合漢字: 尣 <5C23>)
     CID: <2236> -> Uni: <2E96> (⺖) 💡 (相当する統合漢字: 忄 <5FC4>)
     CID: <224E> -> Uni: <2E98> (⺘) 💡 (相当する統合漢字: 扌 <624C>)
     CID: <22B4> -> Uni: <2EA1> (⺡) 💡 (相当する統合漢字: 氵 <6C35>)
     CID: <22E4> -> Uni: <2EA3> (⺣) 💡 (相当する統合漢字: 灬 <706C>)
     CID: <22FD> -> Uni: <2EA8> (⺨) 💡 (相当する統合漢字: 犭 <72AD>)
     CID: <2360> -> Uni: <2EAD> (⺭) 💡 (相当する統合漢字: 礻 <793B>)
     CID: <23B0> -> Uni: <2EAB> (⺫) 💡 (相当する統合漢字: 目 <76EE>)
     CID: <240E> -> Uni: <2EC2> (⻂) 💡 (相当する統合漢字: 衤 <8864>)
     CID: <2447> -> Uni: <2ECD> (⻍)
     CID: <247B> -> Uni: <2ED2> (⻒) 💡 (相当する統合漢字: 镸 <9578>)
     CID: <2481> -> Uni: <2ECF> (⻏) 💡 (相当する統合漢字: 邑 <9091>)
     CID: <24EC> -> Uni: <2EA4> (⺤)
     CID: <24ED> -> Uni: <2ECC> (⻌)
     CID: <2A9B> -> Uni: <2E9E> (⺞) 💡 (相当する統合漢字: 歺 <6B7A>)
     CID: <2E9F> -> Uni: <2EA0> (⺠) 💡 (相当する統合漢字: 民 <6C11>)
     CID: <2EAE> -> Uni: <2EAF> (⺯) 💡 (相当する統合漢字: 糹 <7CF9>)
     CID: <2EB8> -> Uni: <2EB9> (⺹) 💡 (相当する統合漢字: 耂 <8002>)
     CID: <2EC0> -> Uni: <2EC1> (⻁) 💡 (相当する統合漢字: 虎 <864E>)
     CID: <2EC6> -> Uni: <2EC7> (⻇) 💡 (相当する統合漢字: 𧢲 <278B2>)
     CID: <2EC9> -> Uni: <2ECB> (⻋) 💡 (相当する統合漢字: 车 <8F66>)
     CID: <2ECE> -> Uni: <2ED0> (⻐) 💡 (相当する統合漢字: 钅 <9485>)
