
================================================================================
🔍 各フォント内部 CMap 汚染明細（逆引き検証）
================================================================================
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
🚨 汚染検出 フォント [ID: 4] (名前: AAAAAA+YuMincho-Regular) [ToUnicode ID: 272]
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  [▼ 🔴 康煕部首へのマッピング (U+2F00～)]
     CID: <10E3> -> Uni: <2F1A> (⼚) 💡 (相当する統合漢字: 厂 <5382>)
     CID: <10EA> -> Uni: <2F1B> (⼛) 💡 (相当する統合漢字: 厶 <53B6>)
     CID: <116D> -> Uni: <2F1E> (⼞) 💡 (相当する統合漢字: 囗 <56D7>)
     CID: <1210> -> Uni: <2F27> (⼧) 💡 (相当する統合漢字: 宀 <5B80>)
     CID: <122A> -> Uni: <2F2B> (⼫) 💡 (相当する統合漢字: 尸 <5C38>)
     CID: <1234> -> Uni: <2F2C> (⼬) 💡 (相当する統合漢字: 屮 <5C6E>)
     CID: <126E> -> Uni: <2F2E> (⼮) 💡 (相当する統合漢字: 巛 <5DDB>)
     CID: <1287> -> Uni: <2F34> (⼴) 💡 (相当する統合漢字: 广 <5E7F>)
     CID: <129B> -> Uni: <2F35> (⼵) 💡 (相当する統合漢字: 廴 <5EF4>)
     CID: <129D> -> Uni: <2F36> (⼶) 💡 (相当する統合漢字: 廾 <5EFE>)
     CID: <12A2> -> Uni: <2F37> (⼷) 💡 (相当する統合漢字: 弋 <5F0B>)
     CID: <12B1> -> Uni: <2F3A> (⼺) 💡 (相当する統合漢字: 彡 <5F61>)
     CID: <12B3> -> Uni: <2F3B> (⼻) 💡 (相当する統合漢字: 彳 <5F73>)
     CID: <1344> -> Uni: <2F3D> (⼽) 💡 (相当する統合漢字: 戈 <6208>)
     CID: <13C4> -> Uni: <2F41> (⽁) 💡 (相当する統合漢字: 攴 <6534>)
     CID: <13E2> -> Uni: <2F46> (⽆) 💡 (相当する統合漢字: 无 <65E0>)
     CID: <140E> -> Uni: <2F48> (⽈) 💡 (相当する統合漢字: 曰 <66F0>)
     CID: <14E7> -> Uni: <2F4D> (⽍) 💡 (相当する統合漢字: 歹 <6B79>)
     CID: <14F6> -> Uni: <2F4E> (⽎) 💡 (相当する統合漢字: 殳 <6BB3>)
     CID: <14FA> -> Uni: <2F4F> (⽏) 💡 (相当する統合漢字: 毋 <6BCB>)
     CID: <1504> -> Uni: <2F53> (⽓) 💡 (相当する統合漢字: 气 <6C14>)
     CID: <15E6> -> Uni: <2F58> (⽘) 💡 (相当する統合漢字: 爻 <723B>)
     CID: <15E8> -> Uni: <2F59> (⽙) 💡 (相当する統合漢字: 爿 <723F>)
     CID: <1699> -> Uni: <2F68> (⽨) 💡 (相当する統合漢字: 癶 <7676>)
     CID: <1815> -> Uni: <2F79> (⽹) 💡 (相当する統合漢字: 网 <7F51>)
     CID: <183F> -> Uni: <2F7E> (⽾) 💡 (相当する統合漢字: 耒 <8012>)
     CID: <1855> -> Uni: <2F80> (⾀) 💡 (相当する統合漢字: 聿 <807F>)
     CID: <18B4> -> Uni: <2F8B> (⾋) 💡 (相当する統合漢字: 艸 <8278>)
     CID: <1951> -> Uni: <2F8C> (⾌) 💡 (相当する統合漢字: 虍 <864D>)
     CID: <19ED> -> Uni: <2F91> (⾑) 💡 (相当する統合漢字: 襾 <897E>)
     CID: <1A58> -> Uni: <2F97> (⾗) 💡 (相当する統合漢字: 豕 <8C55>)
     CID: <1A5B> -> Uni: <2F98> (⾘) 💡 (相当する統合漢字: 豸 <8C78>)
     CID: <1BCB> -> Uni: <2FAA> (⾪) 💡 (相当する統合漢字: 隶 <96B6>)
     CID: <1BCD> -> Uni: <2FAB> (⾫) 💡 (相当する統合漢字: 隹 <96B9>)
     CID: <1C05> -> Uni: <2FB1> (⾱) 💡 (相当する統合漢字: 韋 <97CB>)
     CID: <1C07> -> Uni: <2FB2> (⾲) 💡 (相当する統合漢字: 韭 <97ED>)
     CID: <1C6E> -> Uni: <2FBD> (⾽) 💡 (相当する統合漢字: 髟 <9ADF>)
     CID: <1C7F> -> Uni: <2FBE> (⾾) 💡 (相当する統合漢字: 鬥 <9B25>)
     CID: <1CF8> -> Uni: <2FC4> (⿄) 💡 (相当する統合漢字: 鹵 <9E75>)
     CID: <1D03> -> Uni: <2FC6> (⿆) 💡 (相当する統合漢字: 麥 <9EA5>)
     CID: <1D18> -> Uni: <2FCB> (⿋) 💡 (相当する統合漢字: 黹 <9EF9>)
     CID: <1D1B> -> Uni: <2FCC> (⿌) 💡 (相当する統合漢字: 黽 <9EFD>)
     CID: <1F1F> -> Uni: <2F5B> (⽛) 💡 (相当する統合漢字: 牙 <7259>)
     CID: <20B5> -> Uni: <2F01> (⼁) 💡 (相当する統合漢字: 丨 <4E28>)
     CID: <340D> -> Uni: <2FC8> (⿈) 💡 (相当する統合漢字: 黃 <9EC3>)
     CID: <3A02> -> Uni: <2F67> (⽧) 💡 (相当する統合漢字: 疒 <7592>)
     CID: <3A43> -> Uni: <2F71> (⽱) 💡 (相当する統合漢字: 禸 <79B8>)
     CID: <3B51> -> Uni: <2FA1> (⾡) 💡 (相当する統合漢字: 辵 <8FB5>)
     CID: <2F44> -> Uni: <2F45> (⽅) 💡 (相当する統合漢字: 方 <65B9>)
     CID: <2F4E> -> Uni: <2F50> (⽐) 💡 (相当する統合漢字: 比 <6BD4>)
     CID: <2F63> -> Uni: <2F64> (⽤) 💡 (相当する統合漢字: 用 <7528>)
     CID: <2F65> -> Uni: <2F66> (⽦) 💡 (相当する統合漢字: 疋 <758B>)
     CID: <2FAC> -> Uni: <2FAD> (⾭) 💡 (相当する統合漢字: 靑 <9751>)
