
================================================================================
🔍 各フォント内部 CMap 汚染明細（逆引き検証）
================================================================================
✨ 清潔フォント [ID: 5] (名前: BAAAAA+Meiryo) ── 汚染なし
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
🚨 汚染検出 フォント [ID: 4] (名前: AAAAAA+SourceHanSerif-Medium) [ToUnicode ID: 270]
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  [▼ 🟡 CJK部首補助へのマッピング (U+2E80～)]
     CID: <2D51> -> Uni: <2F15> (⼕) 💡 (相当する統合漢字: 匚 <531A>)
     CID: <2D8E> -> Uni: <2F16> (⼖) 💡 (相当する統合漢字: 匸 <5338>)
     CID: <2DA5> -> Uni: <2F17> (⼗) 💡 (相当する統合漢字: 十 <5341>)
     CID: <2DCB> -> Uni: <2F18> (⼘) 💡 (相当する統合漢字: 卜 <535C>)
     CID: <2DDD> -> Uni: <2F19> (⼙) 💡 (相当する統合漢字: 卩 <5369>)
     CID: <2E05> -> Uni: <2F1A> (⼚) 💡 (相当する統合漢字: 厂 <5382>)
     CID: <2E51> -> Uni: <2F1B> (⼛) 💡 (相当する統合漢字: 厶 <53B6>)
     CID: <2E71> -> Uni: <2F1C> (⼜) 💡 (相当する統合漢字: 又 <53C8>)
     CID: <2E9A> -> Uni: <2F1D> (⼝) 💡 (相当する統合漢字: 口 <53E3>)
     CID: <337D> -> Uni: <2F1E> (⼞) 💡 (相当する統合漢字: 囗 <56D7>)
     CID: <33F8> -> Uni: <2F1F> (⼟) 💡 (相当する統合漢字: 土 <571F>)
     CID: <36F6> -> Uni: <2F20> (⼠) 💡 (相当する統合漢字: 士 <58EB>)
     CID: <3715> -> Uni: <2F21> (⼡) 💡 (相当する統合漢字: 夂 <5902>)
     CID: <3721> -> Uni: <2F22> (⼢) 💡 (相当する統合漢字: 夊 <590A>)
     CID: <373B> -> Uni: <2F23> (⼣) 💡 (相当する統合漢字: 夕 <5915>)
     CID: <3755> -> Uni: <2F24> (⼤) 💡 (相当する統合漢字: 大 <5927>)
     CID: <37D5> -> Uni: <2F25> (⼥) 💡 (相当する統合漢字: 女 <5973>)
     CID: <3CB3> -> Uni: <2F26> (⼦) 💡 (相当する統合漢字: 子 <5B50>)
     CID: <3D04> -> Uni: <2F27> (⼧) 💡 (相当する統合漢字: 宀 <5B80>)
     CID: <3E08> -> Uni: <2F28> (⼨) 💡 (相当する統合漢字: 寸 <5BF8>)
     CID: <3E2F> -> Uni: <2F29> (⼩) 💡 (相当する統合漢字: 小 <5C0F>)
     CID: <3E75> -> Uni: <2F2B> (⼫) 💡 (相当する統合漢字: 尸 <5C38>)
     CID: <3ED7> -> Uni: <2F2D> (⼭) 💡 (相当する統合漢字: 山 <5C71>)
     CID: <421F> -> Uni: <2F2E> (⼮) 💡 (相当する統合漢字: 巛 <5DDB>)
     CID: <4230> -> Uni: <2F2F> (⼯) 💡 (相当する統合漢字: 工 <5DE5>)
     CID: <4241> -> Uni: <2F30> (⼰) 💡 (相当する統合漢字: 己 <5DF1>)
     CID: <4252> -> Uni: <2F31> (⼱) 💡 (相当する統合漢字: 巾 <5DFE>)
     CID: <430F> -> Uni: <2F32> (⼲) 💡 (相当する統合漢字: 干 <5E72>)
     CID: <4325> -> Uni: <2F34> (⼴) 💡 (相当する統合漢字: 广 <5E7F>)
